id|timestamp|mti|card_number|amount_customer|merchant_type|merchant_id|merchant_address|ref_id|amount_merchant|response_code
294ef375-618f-4585-b350-614065bdda41|2015-05-06 01:02:37.508|0100|4983917906952194|31.9|3421|47|Super Restaurant, 337 Market St, Redwood City, NE, USA|||
45b76800-3da1-4b1c-92fd-e5420fd38ee9|2015-05-06 01:02:38.131|0110|4983917906952194|31.9|3421|47|Super Restaurant, 337 Market St, Redwood City, NE, USA|294ef375-618f-4585-b350-614065bdda41|30.94|00
b1719668-c194-45a0-ac4a-657221bcb021|2017-11-11 11:40:53.127|0100|4358709287954450|78.28|1322|0|Super Liquors, 38 Main st, Foster City, WI, USA|||
3cba49a3-a472-4ab9-9a93-d964a020c043|2017-11-11 11:40:55.833|0110|4358709287954450|78.28|1322|0|Super Liquors, 38 Main st, Foster City, WI, USA|b1719668-c194-45a0-ac4a-657221bcb021|75.93|00
8f831c5c-9d17-435a-b4ff-ea998bf07a89|2017-01-28 19:57:13.684|0100|4964016273241197|54.06|6601|5|Sunny Liquors, 144 Beach rd, Redwood City, ND, USA|||
5e18d665-fe0e-4369-b082-7c48c513cde2|2017-01-28 19:57:16.079|0110|4964016273241197|54.06|6601|5|Sunny Liquors, 144 Beach rd, Redwood City, ND, USA|8f831c5c-9d17-435a-b4ff-ea998bf07a89|52.44|00
053d5094-a0a7-4130-93a4-db0629d8c36f|2015-07-06 16:44:59.618|0100|4205865193442523|96.4|6523|31|Star Donuts, 236 Alameda ave, Burlingame, ID, USA|||
1267b991-b335-458b-91f0-692f0538a4b4|2015-07-06 16:45:02.497|0110|4205865193442523|96.4|6523|31|Star Donuts, 236 Alameda ave, Burlingame, ID, USA|053d5094-a0a7-4130-93a4-db0629d8c36f|93.51|00
ec0fe149-1c98-4b25-a886-5397502dc437|2016-05-09 12:48:02.557|0100|4895066632147662|8.1|6024|31|Star Dry cleaners, 537 Beach rd, Redwood City, VT, USA|||
4d682e3b-b9e4-4606-b086-a3dff0ee684c|2016-05-09 12:48:02.935|0110|4895066632147662|8.1|6024|31|Star Dry cleaners, 537 Beach rd, Redwood City, VT, USA|ec0fe149-1c98-4b25-a886-5397502dc437|7.86|00
74c408e5-5c5f-4804-b3cc-0be43e0bd865|2020-11-28 11:18:34.690|0100|4994787482257195|20.74|9531|0|Sunny Nursery, 878 Hillview St, San Francisco, IN, USA|||
822163cb-7aec-4008-ba6a-174944f54eab|2020-11-28 11:18:35.577|0110|4994787482257195|20.74|9531|0|Sunny Nursery, 878 Hillview St, San Francisco, IN, USA|74c408e5-5c5f-4804-b3cc-0be43e0bd865|20.12|00
558a95f6-a8bc-440c-a050-0962d6e20277|2020-02-08 07:34:52.694|0100|4166430605401731|61.32|0078|0|Summer Winds Liquors, 38 Beach rd, Foster City, KY, USA|||
5491d247-3307-4347-a2a7-4a1c28344db2|2020-02-08 07:34:53.934|0110|4166430605401731|61.32|0078|0|Summer Winds Liquors, 38 Beach rd, Foster City, KY, USA|558a95f6-a8bc-440c-a050-0962d6e20277|59.48|00
db0f1c64-809c-4243-980a-bd2e043263b7|2016-02-02 16:17:12.277|0100|4057601236698277|21.85|1288|78|Super Auto, 77 Market St, San Francisco, MO, USA|||
d73c33dc-82ee-4b67-ab8c-108a4ccd4e13|2016-02-02 16:17:15.094|0110|4057601236698277|21.85|1288|78|Super Auto, 77 Market St, San Francisco, MO, USA|db0f1c64-809c-4243-980a-bd2e043263b7|21.19|00
05f2826a-99e3-4200-b9be-3108627190fb|2020-05-25 04:55:20.194|0100|4516566475036927|39.38|5230|0|Star Auto, 216 Market St, San Francisco, PA, USA|||
5a79ffe2-8a24-4d38-9f01-243891d00361|2020-05-25 04:55:22.178|0110|4516566475036927|39.38|5230|0|Star Auto, 216 Market St, San Francisco, PA, USA|05f2826a-99e3-4200-b9be-3108627190fb|38.2|00
a76f0e7f-3486-4838-be68-23bd134e8968|2016-07-22 09:38:18.318|0100|4312522719957792|54.11|7411|54|First Dry cleaners, 763 Market St, San Mateo, NV, USA|||
c6118e30-a504-4fd1-b94e-739321de8e73|2016-07-22 09:38:20.667|0110|4312522719957792|54.11|7411|54|First Dry cleaners, 763 Market St, San Mateo, NV, USA|a76f0e7f-3486-4838-be68-23bd134e8968|52.49|00
